"cname","ccode","cabbr","isocode","isoabbr","date","year","month","day","iso_region","region","region_type","ppi_total","ppi_regional","ppi_national"
"Canada",20,"CAN",124,"CA",2020-01-24,2020,1,24,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-25,2020,1,25,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-26,2020,1,26,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-27,2020,1,27,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-28,2020,1,28,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-29,2020,1,29,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-30,2020,1,30,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-01-31,2020,1,31,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-01,2020,2,1,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-02,2020,2,2,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-03,2020,2,3,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-04,2020,2,4,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-05,2020,2,5,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-06,2020,2,6,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-07,2020,2,7,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-08,2020,2,8,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-09,2020,2,9,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-10,2020,2,10,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-11,2020,2,11,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-12,2020,2,12,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-13,2020,2,13,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-14,2020,2,14,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-15,2020,2,15,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-16,2020,2,16,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-17,2020,2,17,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-18,2020,2,18,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-19,2020,2,19,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-20,2020,2,20,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-21,2020,2,21,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-22,2020,2,22,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-23,2020,2,23,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-24,2020,2,24,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-25,2020,2,25,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-26,2020,2,26,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-27,2020,2,27,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-28,2020,2,28,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-02-29,2020,2,29,"CA-AB","Alberta","province",0,0,0
"Canada",20,"CAN",124,"CA",2020-03-01,2020,3,1,"CA-AB","Alberta","province",0,0,0
