"isocode","isoabbr","state_province","iso_state","date","dimension","subnational","total_change","branch","who","institution","report_date","expiration_date","report_change"
104,"MM","Sagaing","MM-01",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Sagaing","MM-01",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Sagaing","MM-01",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Sagaing","MM-01",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Sagaing","MM-01",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Sagaing","MM-01",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Sagaing","MM-01",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Sagaing","MM-01",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Sagaing","MM-01",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Sagaing","MM-01",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Sagaing","MM-01",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Sagaing","MM-01",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Sagaing","MM-01",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Bago","MM-02",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Bago","MM-02",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Bago","MM-02",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Bago","MM-02",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Bago","MM-02",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Bago","MM-02",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Bago","MM-02",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Bago","MM-02",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Bago","MM-02",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Bago","MM-02",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Bago","MM-02",2020-02-28,"soc_gath",0,1,"executive leadership",NA,"Central Government",2020-02-28,2020-11-30,1
104,"MM","Bago","MM-02",2020-03-16,"venues",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
104,"MM","Bago","MM-02",2020-03-25,"wfh",0,1,"executive leadership",NA,"Central Government",2020-03-25,2020-11-30,1
104,"MM","Magway","MM-03",2020-03-20,"air_bord",0,0.333,"executive leadership",NA,"Central Government",2020-03-20,2020-11-30,0.333
104,"MM","Magway","MM-03",2020-03-28,"air_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-28,2020-11-30,0.667
104,"MM","Magway","MM-03",2020-04-10,"ind_mob",0,0.8,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,0.8
104,"MM","Magway","MM-03",2020-03-19,"land_bord",0,0.667,"executive leadership",NA,"Central Government",2020-03-19,2020-11-30,0.667
104,"MM","Magway","MM-03",2020-07-29,"masks",0,1,"executive leadership",NA,"Central Government",2020-07-29,2020-11-30,1
104,"MM","Magway","MM-03",2020-03-15,"med_stay",0,1,"executive leadership",NA,"Central Government",2020-03-15,2020-11-30,1
104,"MM","Magway","MM-03",2020-04-08,"ne_busn",0,1,"executive leadership",NA,"Central Government",2020-04-04,2020-04-23,1
104,"MM","Magway","MM-03",2020-04-10,"publ_tr",0,1,"executive leadership",NA,"Central Government",2020-04-10,2020-04-19,1
104,"MM","Magway","MM-03",2020-03-27,"restrts",0,1,"executive leadership",NA,"Central Government",2020-03-27,2020-05-19,1
104,"MM","Magway","MM-03",2020-03-16,"schools",0,1,"executive leadership",NA,"Central Government",2020-03-16,2020-07-21,1
